item_id	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	condition	binary_label	sentence	template_family	verb_surface	object_surface	verb_lemma	object_lemma	verb_object_FSG	violation_type	source_record_id	auto_expected_makes_sense_yes_no	auto_structure_complete_yes_no	auto_usf_condition_pass_yes_no	human_sentence_well_formed_yes_no	human_sentence_makes_sense_yes_no	human_notes_optional
ORIG_PLAUS_0013	ds003604_original	reference_only	SP_I	stereo_PI12.wav	incongruent	0	She is running three cakes	be_progressive	running	cakes	run	cake			ds003604:stereo_PI12.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0014	ds003604_original	reference_only	SP_I	stereo_PI32.wav	incongruent	0	Every day she sings two flowers	present_3s	sings	flowers	sing	flower			ds003604:stereo_PI32.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0015	ds003604_original	reference_only	SP_I	stereo_PI33.wav	incongruent	0	Every day she drinks one swing	present_3s	drinks	swing	drink	swing			ds003604:stereo_PI33.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0016	ds003604_original	reference_only	SP_I	stereo_PI42.wav	incongruent	0	Last week they scared two legs	simple_past	scared	legs	scare	leg			ds003604:stereo_PI42.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0017	ds003604_original	reference_only	SP_I	stereo_PI45.wav	incongruent	0	Last week they chopped two phones	simple_past	chopped	phones	chop	phone			ds003604:stereo_PI45.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0018	ds003604_original	reference_only	SP_I	stereo_PI65.wav	incongruent	0	He does wear two songs	do_negation	wear	songs	wear	song			ds003604:stereo_PI65.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0019	ds003604_original	reference_only	SP_I	stereo_PI67.wav	incongruent	0	They do swim three dogs	do_negation	swim	dogs	swim	dog			ds003604:stereo_PI67.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0020	ds003604_original	reference_only	SP_I	stereo_PI90.wav	incongruent	0	Last week they climbed one photo	simple_past	climbed	photo	climb	photo			ds003604:stereo_PI90.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0021	ds003604_original	reference_only	SP_W	stereo_PW18.wav	weak_congruence	1	She does not taste two foods	do_negation	taste	foods	taste	food			ds003604:stereo_PW18.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0022	ds003604_original	reference_only	SP_W	stereo_PW19.wav	weak_congruence	1	They do not catch three fish	do_negation	catch	fish	catch	fish			ds003604:stereo_PW19.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0023	ds003604_original	reference_only	SP_W	stereo_PW28.wav	weak_congruence	1	Every day they drink two waters	present_3s	drink	waters	drink	water			ds003604:stereo_PW28.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0024	ds003604_original	reference_only	SP_W	stereo_PW30.wav	weak_congruence	1	Every day she draws two sketches	present_3s	draws	sketches	draw	sketch			ds003604:stereo_PW30.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0025	ds003604_original	reference_only	SP_W	stereo_PW50.wav	weak_congruence	1	He is folding two papers	be_progressive	folding	papers	fold	paper			ds003604:stereo_PW50.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0026	ds003604_original	reference_only	SP_W	stereo_PW53.wav	weak_congruence	1	They are hunting three deer	be_progressive	hunting	deer	hunt	deer			ds003604:stereo_PW53.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0027	ds003604_original	reference_only	SP_W	stereo_PW61.wav	weak_congruence	1	He does not think two thoughts	do_negation	think	thoughts	think	thought			ds003604:stereo_PW61.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0028	ds003604_original	reference_only	SP_W	stereo_PW72.wav	weak_congruence	1	Every day she rides one bicycle	present_3s	rides	bicycle	ride	bicycle			ds003604:stereo_PW72.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0029	ds003604_original	reference_only	SP_W	stereo_PW85.wav	weak_congruence	1	Last week she baked two potatoes	simple_past	baked	potatoes	bake	potato			ds003604:stereo_PW85.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0030	ds003604_original	reference_only	SP_W	stereo_PW86.wav	weak_congruence	1	Last week they played two games	simple_past	played	games	play	game			ds003604:stereo_PW86.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0031	ds003604_original	reference_only	SP_S	stereo_PC02.wav	strong_congruence	1	He is asking three questions	be_progressive	asking	questions	ask	question			ds003604:stereo_PC02.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0032	ds003604_original	reference_only	SP_S	stereo_PC03.wav	strong_congruence	1	He is kicking one ball	be_progressive	kicking	ball	kick	ball			ds003604:stereo_PC03.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0033	ds003604_original	reference_only	SP_S	stereo_PC37.wav	strong_congruence	1	Last week he climbed two mountains	simple_past	climbed	mountains	climb	mountain			ds003604:stereo_PC37.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0034	ds003604_original	reference_only	SP_S	stereo_PC46.wav	strong_congruence	1	She is boiling three eggs	be_progressive	boiling	eggs	boil	egg			ds003604:stereo_PC46.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0035	ds003604_original	reference_only	SP_S	stereo_PC59.wav	strong_congruence	1	She does not mow one lawn	do_negation	mow	lawn	mow	lawn			ds003604:stereo_PC59.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0036	ds003604_original	reference_only	SP_S	stereo_PC60.wav	strong_congruence	1	She does not launch one rocket	do_negation	launch	rocket	launch	rocket			ds003604:stereo_PC60.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0037	ds003604_original	reference_only	SP_S	stereo_PC69.wav	strong_congruence	1	Every day she scrambles two eggs	present_3s	scrambles	eggs	scramble	egg			ds003604:stereo_PC69.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0038	ds003604_original	reference_only	SP_S	stereo_PC70.wav	strong_congruence	1	Every day they count three numbers	present_3s	count	numbers	count	number			ds003604:stereo_PC70.wav	yes	yes	yes	yes	no	User rejected count-number as unnatural; retained unchanged as a reference-only source item.
ORIG_PLAUS_0039	ds003604_original	reference_only	SP_S	stereo_PC79.wav	strong_congruence	1	Last week they scrambled three eggs	simple_past	scrambled	eggs	scramble	egg			ds003604:stereo_PC79.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0040	ds003604_original	reference_only	SP_S	stereo_PC82.wav	strong_congruence	1	Last week they bounced two balls	simple_past	bounced	balls	bounce	ball			ds003604:stereo_PC82.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0041	ds003604_original	reference_only	SP_I	stereo_PI21.wav	incongruent	0	She does plant three keys	do_negation	plant	keys	plant	key			ds003604:stereo_PI21.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0042	ds003604_original	reference_only	SP_I	stereo_PI22.wav	incongruent	0	She does write two cans	do_negation	write	cans	write	can			ds003604:stereo_PI22.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0043	ds003604_original	reference_only	SP_I	stereo_PI23.wav	incongruent	0	They do thank one candy	do_negation	thank	candy	thank	candy			ds003604:stereo_PI23.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0044	ds003604_original	reference_only	SP_I	stereo_PI34.wav	incongruent	0	Every day they flush three trees	present_3s	flush	trees	flush	tree			ds003604:stereo_PI34.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0045	ds003604_original	reference_only	SP_I	stereo_PI43.wav	incongruent	0	Last week he hugged three shows	simple_past	hugged	shows	hug	show			ds003604:stereo_PI43.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0046	ds003604_original	reference_only	SP_I	stereo_PI44.wav	incongruent	0	Last week she called one shirt	simple_past	called	shirt	call	shirt			ds003604:stereo_PI44.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0047	ds003604_original	reference_only	SP_I	stereo_PI55.wav	incongruent	0	He is walking two doors	be_progressive	walking	doors	walk	door			ds003604:stereo_PI55.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0048	ds003604_original	reference_only	SP_I	stereo_PI56.wav	incongruent	0	They are typing two computers	be_progressive	typing	computers	type	computer			ds003604:stereo_PI56.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0049	ds003604_original	reference_only	SP_I	stereo_PI75.wav	incongruent	0	Every day he cooks one house	present_3s	cooks	house	cook	house			ds003604:stereo_PI75.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0050	ds003604_original	reference_only	SP_I	stereo_PI78.wav	incongruent	0	Every day they walk three buttons	present_3s	walk	buttons	walk	button			ds003604:stereo_PI78.wav	no	yes	yes	yes	no	
ORIG_PLAUS_0051	ds003604_original	reference_only	SP_W	stereo_PW05.wav	weak_congruence	1	He is setting two stages	be_progressive	setting	stages	set	stage			ds003604:stereo_PW05.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0052	ds003604_original	reference_only	SP_W	stereo_PW07.wav	weak_congruence	1	She is hanging three pictures	be_progressive	hanging	pictures	hang	picture			ds003604:stereo_PW07.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0053	ds003604_original	reference_only	SP_W	stereo_PW08.wav	weak_congruence	1	They are building one house	be_progressive	building	house	build	house			ds003604:stereo_PW08.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0054	ds003604_original	reference_only	SP_W	stereo_PW39.wav	weak_congruence	1	Last week he sucked two lollipops	simple_past	sucked	lollipops	suck	lollipop			ds003604:stereo_PW39.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0055	ds003604_original	reference_only	SP_W	stereo_PW40.wav	weak_congruence	1	Last week they climbed one ladder	simple_past	climbed	ladder	climb	ladder			ds003604:stereo_PW40.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0056	ds003604_original	reference_only	SP_W	stereo_PW63.wav	weak_congruence	1	He does not break two glasses	do_negation	break	glasses	break	glass			ds003604:stereo_PW63.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0057	ds003604_original	reference_only	SP_W	stereo_PW64.wav	weak_congruence	1	She does not kiss two lips	do_negation	kiss	lips	kiss	lip			ds003604:stereo_PW64.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0058	ds003604_original	reference_only	SP_W	stereo_PW73.wav	weak_congruence	1	Every day he licks one sucker	present_3s	licks	sucker	lick	sucker			ds003604:stereo_PW73.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0059	ds003604_original	reference_only	SP_W	stereo_PW74.wav	weak_congruence	1	Every day they smell two perfumes	present_3s	smell	perfumes	smell	perfume			ds003604:stereo_PW74.wav	yes	yes	yes	yes	yes	
ORIG_PLAUS_0060	ds003604_original	reference_only	SP_W	stereo_PW83.wav	weak_congruence	1	Last week he hit one homerun	simple_past	hit	homerun	hit	homerun			ds003604:stereo_PW83.wav	yes	yes	yes	yes	yes	
