item_id	condition	binary_label	split	word1	word2	word1_ipa	word2_ipa	qc_notes
MEANING_0044	high_association	1	train	molten	lava	"[""m"", ""oʊ"", ""l"", ""t"", ""ə"", ""n""]"	"[""l"", ""ɑ"", ""v"", ""ə""]"	unseen_phase1:molten
MEANING_0045	high_association	1	train	more	less	"[""m"", ""ɔ"", ""ɹ""]"	"[""l"", ""ɛ"", ""s""]"	
MEANING_0046	high_association	1	train	mother	father	"[""m"", ""ʌ"", ""ð"", ""ə"", ""ɹ""]"	"[""f"", ""ɑ"", ""ð"", ""ə"", ""ɹ""]"	
MEANING_0047	high_association	1	train	niece	nephew	"[""n"", ""iː"", ""s""]"	"[""n"", ""ɛ"", ""f"", ""j"", ""uː""]"	
MEANING_0048	high_association	1	train	owe	money	"[""oʊ""]"	"[""m"", ""ʌ"", ""n"", ""i""]"	
MEANING_0049	high_association	1	train	parrot	bird	"[""p"", ""æ"", ""ɹ"", ""ə"", ""t""]"	"[""b"", ""ɜː"", ""d""]"	
MEANING_0050	high_association	1	train	perch	bird	"[""p"", ""ɜː"", ""t̠ʃ""]"	"[""b"", ""ɜː"", ""d""]"	
MEANING_0051	high_association	1	train	petals	flower	"[""p"", ""ɛ"", ""t"", ""ə"", ""l"", ""z""]"	"[""f"", ""l"", ""aʊ"", ""ə"", ""ɹ""]"	
MEANING_0052	high_association	1	train	pine	tree	"[""p"", ""aɪ"", ""n""]"	"[""t"", ""ɹ"", ""iː""]"	
MEANING_0053	high_association	1	train	plaything	toy	"[""p"", ""l"", ""eɪ"", ""θ"", ""ɪ"", ""ŋ""]"	"[""t"", ""ɔɪ""]"	unseen_phase1:plaything
MEANING_0054	high_association	1	train	plead	beg	"[""p"", ""l"", ""iː"", ""d""]"	"[""b"", ""ɛ"", ""ɡ""]"	unseen_phase1:plead
MEANING_0055	high_association	1	train	prison	jail	"[""p"", ""ɹ"", ""ɪ"", ""z"", ""ə"", ""n""]"	"[""d̠ʒ"", ""eɪ"", ""l""]"	
MEANING_0056	high_association	1	train	pun	joke	"[""p"", ""ʌ"", ""n""]"	"[""d̠ʒ"", ""oʊ"", ""k""]"	
MEANING_0057	high_association	1	train	purchase	buy	"[""p"", ""ɜː"", ""t̠ʃ"", ""ɪ"", ""s""]"	"[""b"", ""aɪ""]"	
MEANING_0058	high_association	1	train	quail	bird	"[""k"", ""w"", ""eɪ"", ""l""]"	"[""b"", ""ɜː"", ""d""]"	
MEANING_0059	high_association	1	train	quench	thirst	"[""k"", ""w"", ""ɛ"", ""n"", ""t̠ʃ""]"	"[""θ"", ""ɜː"", ""s"", ""t""]"	
MEANING_0060	high_association	1	train	reflection	mirror	"[""ɹ"", ""ɪ"", ""f"", ""l"", ""ɛ"", ""k"", ""ʃ"", ""ə"", ""n""]"	"[""m"", ""ɪ"", ""ɹ"", ""ə"", ""ɹ""]"	
MEANING_0061	high_association	1	train	refrain	stop	"[""ɹ"", ""ɪ"", ""f"", ""ɹ"", ""eɪ"", ""n""]"	"[""s"", ""t"", ""ɑ"", ""p""]"	unseen_phase1:refrain
MEANING_0062	high_association	1	train	remove	take	"[""ɹ"", ""ɪ"", ""m"", ""uː"", ""v""]"	"[""t"", ""eɪ"", ""k""]"	
MEANING_0063	high_association	1	train	roast	beef	"[""ɹ"", ""oʊ"", ""s"", ""t""]"	"[""b"", ""iː"", ""f""]"	
MEANING_0064	high_association	1	train	saloon	bar	"[""s"", ""ə"", ""l"", ""uː"", ""n""]"	"[""b"", ""ɑ"", ""ɹ""]"	
MEANING_0065	high_association	1	train	sauce	spaghetti	"[""s"", ""ɔ"", ""s""]"	"[""s"", ""p"", ""ə"", ""ɡ"", ""ɛ"", ""t"", ""i""]"	
MEANING_0066	high_association	1	train	search	find	"[""s"", ""ɜː"", ""t̠ʃ""]"	"[""f"", ""aɪ"", ""n"", ""d""]"	
MEANING_0067	high_association	1	train	server	waiter	"[""s"", ""ɜː"", ""v"", ""ə"", ""ɹ""]"	"[""w"", ""eɪ"", ""t"", ""ə"", ""ɹ""]"	
MEANING_0068	high_association	1	train	shrink	small	"[""ʃ"", ""ɹ"", ""ɪ"", ""ŋ"", ""k""]"	"[""s"", ""m"", ""ɔ"", ""l""]"	
MEANING_0069	high_association	1	train	sky	blue	"[""s"", ""k"", ""aɪ""]"	"[""b"", ""l"", ""uː""]"	
MEANING_0070	high_association	1	train	skyscraper	building	"[""s"", ""k"", ""aɪ"", ""s"", ""k"", ""ɹ"", ""eɪ"", ""p"", ""ə"", ""ɹ""]"	"[""b"", ""ɪ"", ""l"", ""d"", ""ɪ"", ""ŋ""]"	
MEANING_0071	high_association	1	train	slacks	pants	"[""s"", ""l"", ""æ"", ""k"", ""s""]"	"[""p"", ""æ"", ""n"", ""t"", ""s""]"	
MEANING_0072	high_association	1	train	spades	cards	"[""s"", ""p"", ""eɪ"", ""d"", ""z""]"	"[""k"", ""ɑ"", ""ɹ"", ""d"", ""z""]"	
MEANING_0073	high_association	1	train	strand	hair	"[""s"", ""t"", ""ɹ"", ""æ"", ""n"", ""d""]"	"[""h"", ""ɛ"", ""ɹ""]"	unseen_phase1:strand
MEANING_0074	high_association	1	train	strike	hit	"[""s"", ""t"", ""ɹ"", ""aɪ"", ""k""]"	"[""h"", ""ɪ"", ""t""]"	
MEANING_0075	high_association	1	train	structure	building	"[""s"", ""t"", ""ɹ"", ""ʌ"", ""k"", ""t̠ʃ"", ""ə"", ""ɹ""]"	"[""b"", ""ɪ"", ""l"", ""d"", ""ɪ"", ""ŋ""]"	
MEANING_0076	high_association	1	train	sweep	broom	"[""s"", ""w"", ""iː"", ""p""]"	"[""b"", ""ɹ"", ""uː"", ""m""]"	
MEANING_0077	high_association	1	train	theater	movie	"[""θ"", ""iə"", ""t"", ""ə"", ""ɹ""]"	"[""m"", ""uː"", ""v"", ""i""]"	
MEANING_0078	high_association	1	train	thunder	lightning	"[""θ"", ""ʌ"", ""n"", ""d"", ""ə"", ""ɹ""]"	"[""l"", ""aɪ"", ""t"", ""n"", ""ɪ"", ""ŋ""]"	
MEANING_0079	high_association	1	train	timid	shy	"[""t"", ""ɪ"", ""m"", ""ɪ"", ""d""]"	"[""ʃ"", ""aɪ""]"	
MEANING_0080	high_association	1	train	tiny	small	"[""t"", ""aɪ"", ""n"", ""i""]"	"[""s"", ""m"", ""ɔ"", ""l""]"	
MEANING_0081	high_association	1	train	tub	bath	"[""t"", ""ʌ"", ""b""]"	"[""b"", ""æ"", ""θ""]"	
MEANING_0082	high_association	1	train	values	morals	"[""v"", ""æ"", ""l"", ""j"", ""uː"", ""z""]"	"[""m"", ""ɔ"", ""ɹ"", ""ə"", ""l"", ""z""]"	unseen_phase1:morals
MEANING_0083	high_association	1	train	velocity	speed	"[""v"", ""ə"", ""l"", ""ɑ"", ""s"", ""ɪ"", ""t"", ""i""]"	"[""s"", ""p"", ""iː"", ""d""]"	unseen_phase1:velocity
MEANING_0084	high_association	1	train	venom	poison	"[""v"", ""ɛ"", ""n"", ""ə"", ""m""]"	"[""p"", ""ɔɪ"", ""z"", ""ə"", ""n""]"	
MEANING_0085	high_association	1	train	verb	noun	"[""v"", ""ɜː"", ""b""]"	"[""n"", ""aʊ"", ""n""]"	
MEANING_0086	high_association	1	train	vine	grape	"[""v"", ""aɪ"", ""n""]"	"[""ɡ"", ""ɹ"", ""eɪ"", ""p""]"	
MEANING_0087	high_association	1	train	wife	husband	"[""w"", ""aɪ"", ""f""]"	"[""h"", ""ʌ"", ""s"", ""b"", ""ə"", ""n"", ""d""]"	
MEANING_0088	high_association	1	train	zebra	stripe	"[""z"", ""iː"", ""b"", ""ɹ"", ""ə""]"	"[""s"", ""t"", ""ɹ"", ""aɪ"", ""p""]"	
MEANING_0089	high_association	1	train	zipper	pants	"[""z"", ""ɪ"", ""p"", ""ə"", ""ɹ""]"	"[""p"", ""æ"", ""n"", ""t"", ""s""]"	
MEANING_0090	high_association	1	train	zoo	animal	"[""z"", ""uː""]"	"[""æ"", ""n"", ""ɪ"", ""m"", ""ə"", ""l""]"	
MEANING_0091	low_association	1	train	ashamed	embarrass	"[""ə"", ""ʃ"", ""eɪ"", ""m"", ""d""]"	"[""ɛ"", ""m"", ""b"", ""æ"", ""ɹ"", ""ə"", ""s""]"	
MEANING_0092	low_association	1	train	ass	hole	"[""æ"", ""s""]"	"[""h"", ""oʊ"", ""l""]"	
MEANING_0093	low_association	1	train	bath	clean	"[""b"", ""æ"", ""θ""]"	"[""k"", ""l"", ""iː"", ""n""]"	
MEANING_0094	low_association	1	train	beautiful	ugly	"[""b"", ""j"", ""uː"", ""t"", ""i"", ""f"", ""ə"", ""l""]"	"[""ʌ"", ""ɡ"", ""l"", ""i""]"	
MEANING_0095	low_association	1	train	blur	vision	"[""b"", ""l"", ""ɜː""]"	"[""v"", ""ɪ"", ""ʒ"", ""ə"", ""n""]"	
MEANING_0096	low_association	1	train	bolt	lightning	"[""b"", ""oʊ"", ""l"", ""t""]"	"[""l"", ""aɪ"", ""t"", ""n"", ""ɪ"", ""ŋ""]"	
MEANING_0097	low_association	1	train	cancer	death	"[""k"", ""æ"", ""n"", ""s"", ""ə"", ""ɹ""]"	"[""d"", ""ɛ"", ""θ""]"	
MEANING_0098	low_association	1	train	cards	poker	"[""k"", ""ɑ"", ""ɹ"", ""d"", ""z""]"	"[""p"", ""oʊ"", ""k"", ""ə"", ""ɹ""]"	
MEANING_0099	low_association	1	train	ceramic	pottery	"[""s"", ""ɪ"", ""ɹ"", ""æ"", ""m"", ""ɪ"", ""k""]"	"[""p"", ""ɑ"", ""t"", ""ə"", ""ɹ"", ""ɹ"", ""i""]"	
MEANING_0100	low_association	1	train	chain	saw	"[""t̠ʃ"", ""eɪ"", ""n""]"	"[""s"", ""ɔ""]"	
MEANING_0101	low_association	1	train	compose	music	"[""k"", ""ə"", ""m"", ""p"", ""oʊ"", ""z""]"	"[""m"", ""j"", ""uː"", ""z"", ""ɪ"", ""k""]"	
MEANING_0102	low_association	1	train	convince	persuade	"[""k"", ""ə"", ""n"", ""v"", ""ɪ"", ""n"", ""s""]"	"[""p"", ""ə"", ""ɹ"", ""s"", ""w"", ""eɪ"", ""d""]"	
MEANING_0103	low_association	1	train	corpse	death	"[""k"", ""ɔ"", ""ɹ"", ""p"", ""s""]"	"[""d"", ""ɛ"", ""θ""]"	
MEANING_0104	low_association	1	train	couch	potato	"[""k"", ""aʊ"", ""t̠ʃ""]"	"[""p"", ""ə"", ""t"", ""eɪ"", ""t"", ""oʊ""]"	
MEANING_0105	low_association	1	train	crawl	baby	"[""k"", ""ɹ"", ""ɔ"", ""l""]"	"[""b"", ""eɪ"", ""b"", ""i""]"	
MEANING_0106	low_association	1	train	dash	board	"[""d"", ""æ"", ""ʃ""]"	"[""b"", ""ɔ"", ""ɹ"", ""d""]"	
MEANING_0107	low_association	1	train	delicate	fragile	"[""d"", ""ɛ"", ""l"", ""ɪ"", ""k"", ""ə"", ""t""]"	"[""f"", ""ɹ"", ""æ"", ""d̠ʒ"", ""ə"", ""l""]"	
MEANING_0108	low_association	1	train	domain	range	"[""d"", ""ə"", ""m"", ""eɪ"", ""n""]"	"[""ɹ"", ""eɪ"", ""n"", ""d̠ʒ""]"	
MEANING_0109	low_association	1	train	donor	give	"[""d"", ""oʊ"", ""n"", ""ə"", ""ɹ""]"	"[""ɡ"", ""ɪ"", ""v""]"	unseen_phase1:donor
MEANING_0110	low_association	1	train	downtown	city	"[""d"", ""aʊ"", ""n"", ""t"", ""aʊ"", ""n""]"	"[""s"", ""ɪ"", ""t"", ""i""]"	
MEANING_0111	low_association	1	train	fever	sick	"[""f"", ""iː"", ""v"", ""ə"", ""ɹ""]"	"[""s"", ""ɪ"", ""k""]"	
MEANING_0112	low_association	1	train	fighter	boxer	"[""f"", ""aɪ"", ""t"", ""ə"", ""ɹ""]"	"[""b"", ""ɑ"", ""k"", ""s"", ""ə"", ""ɹ""]"	
MEANING_0113	low_association	1	train	fishing	pole	"[""f"", ""ɪ"", ""ʃ"", ""ɪ"", ""ŋ""]"	"[""p"", ""oʊ"", ""l""]"	
MEANING_0114	low_association	1	train	fur	coat	"[""f"", ""ɜː""]"	"[""k"", ""oʊ"", ""t""]"	
MEANING_0115	low_association	1	train	glide	slide	"[""ɡ"", ""l"", ""aɪ"", ""d""]"	"[""s"", ""l"", ""aɪ"", ""d""]"	
MEANING_0116	low_association	1	train	grasshopper	green	"[""ɡ"", ""ɹ"", ""æ"", ""s"", ""h"", ""ɑ"", ""p"", ""ə"", ""ɹ""]"	"[""ɡ"", ""ɹ"", ""iː"", ""n""]"	
MEANING_0117	low_association	1	train	graze	cow	"[""ɡ"", ""ɹ"", ""eɪ"", ""z""]"	"[""k"", ""aʊ""]"	
MEANING_0118	low_association	1	train	grill	hamburger	"[""ɡ"", ""ɹ"", ""ɪ"", ""l""]"	"[""h"", ""æ"", ""m"", ""b"", ""ɜː"", ""ɡ"", ""ə"", ""ɹ""]"	
MEANING_0119	low_association	1	train	hair	comb	"[""h"", ""ɛ"", ""ɹ""]"	"[""k"", ""oʊ"", ""m""]"	
MEANING_0120	low_association	1	train	handcuffs	cop	"[""h"", ""æ"", ""n"", ""d"", ""k"", ""ʌ"", ""f"", ""s""]"	"[""k"", ""ɑ"", ""p""]"	
MEANING_0121	low_association	1	train	illegal	drugs	"[""ɪ"", ""l"", ""iː"", ""ɡ"", ""ə"", ""l""]"	"[""d"", ""ɹ"", ""ʌ"", ""ɡ"", ""z""]"	
MEANING_0122	low_association	1	train	jaw	shark	"[""d̠ʒ"", ""ɔ""]"	"[""ʃ"", ""ɑ"", ""ɹ"", ""k""]"	
MEANING_0123	low_association	1	train	key	door	"[""k"", ""iː""]"	"[""d"", ""ɔ"", ""ɹ""]"	
MEANING_0124	low_association	1	train	knit	sew	"[""n"", ""ɪ"", ""t""]"	"[""s"", ""oʊ""]"	
MEANING_0125	low_association	1	train	learn	school	"[""l"", ""ɜː"", ""n""]"	"[""s"", ""k"", ""uː"", ""l""]"	
MEANING_0126	low_association	1	train	light	bulb	"[""l"", ""aɪ"", ""t""]"	"[""b"", ""ʌ"", ""l"", ""b""]"	
MEANING_0127	low_association	1	train	lingerie	sexy	"[""l"", ""ɑ"", ""n"", ""ʒ"", ""ə"", ""ɹ"", ""ɹ"", ""eɪ""]"	"[""s"", ""ɛ"", ""k"", ""s"", ""i""]"	unseen_phase1:lingerie
MEANING_0128	low_association	1	train	loaf	lazy	"[""l"", ""oʊ"", ""f""]"	"[""l"", ""eɪ"", ""z"", ""i""]"	
MEANING_0129	low_association	1	train	lock	door	"[""l"", ""ɑ"", ""k""]"	"[""d"", ""ɔ"", ""ɹ""]"	
MEANING_0130	low_association	1	train	mailbox	mail	"[""m"", ""eɪ"", ""l"", ""b"", ""ɑ"", ""k"", ""s""]"	"[""m"", ""eɪ"", ""l""]"	
MEANING_0131	low_association	1	train	maze	puzzle	"[""m"", ""eɪ"", ""z""]"	"[""p"", ""ʌ"", ""z"", ""ə"", ""l""]"	
MEANING_0132	low_association	1	train	midget	small	"[""m"", ""ɪ"", ""d̠ʒ"", ""ɪ"", ""t""]"	"[""s"", ""m"", ""ɔ"", ""l""]"	
MEANING_0133	low_association	1	train	mischief	bad	"[""m"", ""ɪ"", ""s"", ""t̠ʃ"", ""ɪ"", ""f""]"	"[""b"", ""æ"", ""d""]"	
MEANING_0134	low_association	1	train	mop	broom	"[""m"", ""ɑ"", ""p""]"	"[""b"", ""ɹ"", ""uː"", ""m""]"	
MEANING_0135	low_association	1	train	mouth	wash	"[""m"", ""aʊ"", ""θ""]"	"[""w"", ""ɑ"", ""ʃ""]"	
MEANING_0136	low_association	1	train	mug	cup	"[""m"", ""ʌ"", ""ɡ""]"	"[""k"", ""ʌ"", ""p""]"	
MEANING_0137	low_association	1	train	never	ever	"[""n"", ""ɛ"", ""v"", ""ə"", ""ɹ""]"	"[""ɛ"", ""v"", ""ə"", ""ɹ""]"	
MEANING_0138	low_association	1	train	noose	hang	"[""n"", ""uː"", ""s""]"	"[""h"", ""æ"", ""ŋ""]"	unseen_phase1:noose
MEANING_0139	low_association	1	train	pan	pot	"[""p"", ""æ"", ""n""]"	"[""p"", ""ɑ"", ""t""]"	
MEANING_0140	low_association	1	train	patrol	police	"[""p"", ""ə"", ""t"", ""ɹ"", ""oʊ"", ""l""]"	"[""p"", ""ə"", ""l"", ""iː"", ""s""]"	
MEANING_0141	low_association	1	train	plant	green	"[""p"", ""l"", ""æ"", ""n"", ""t""]"	"[""ɡ"", ""ɹ"", ""iː"", ""n""]"	
MEANING_0142	low_association	1	train	priest	church	"[""p"", ""ɹ"", ""iː"", ""s"", ""t""]"	"[""t̠ʃ"", ""ɜː"", ""t̠ʃ""]"	
MEANING_0143	low_association	1	train	protein	meat	"[""p"", ""ɹ"", ""oʊ"", ""t"", ""iː"", ""n""]"	"[""m"", ""iː"", ""t""]"	
MEANING_0144	low_association	1	train	rationalize	think	"[""ɹ"", ""æ"", ""ʃ"", ""ə"", ""n"", ""ə"", ""l"", ""aɪ"", ""z""]"	"[""θ"", ""ɪ"", ""ŋ"", ""k""]"	unseen_phase1:rationalize
MEANING_0145	low_association	1	train	restroom	toilet	"[""ɹ"", ""ɛ"", ""s"", ""t"", ""ɹ"", ""uː"", ""m""]"	"[""t"", ""ɔɪ"", ""l"", ""ɪ"", ""t""]"	
MEANING_0146	low_association	1	train	ring	finger	"[""ɹ"", ""ɪ"", ""ŋ""]"	"[""f"", ""ɪ"", ""ŋ"", ""ɡ"", ""ə"", ""ɹ""]"	
MEANING_0147	low_association	1	train	risk	chance	"[""ɹ"", ""ɪ"", ""s"", ""k""]"	"[""t̠ʃ"", ""æ"", ""n"", ""s""]"	
MEANING_0148	low_association	1	train	rod	reel	"[""ɹ"", ""ɑ"", ""d""]"	"[""ɹ"", ""iː"", ""l""]"	
MEANING_0149	low_association	1	train	seam	sew	"[""s"", ""iː"", ""m""]"	"[""s"", ""oʊ""]"	
MEANING_0150	low_association	1	train	shade	tree	"[""ʃ"", ""eɪ"", ""d""]"	"[""t"", ""ɹ"", ""iː""]"	
MEANING_0151	low_association	1	train	sheep	lamb	"[""ʃ"", ""iː"", ""p""]"	"[""l"", ""æ"", ""m""]"	
MEANING_0152	low_association	1	train	sickle	cell	"[""s"", ""ɪ"", ""k"", ""ə"", ""l""]"	"[""s"", ""ɛ"", ""l""]"	
MEANING_0153	low_association	1	train	sin	wrong	"[""s"", ""ɪ"", ""n""]"	"[""ɹ"", ""ɔ"", ""ŋ""]"	
MEANING_0154	low_association	1	train	sinus	nose	"[""s"", ""aɪ"", ""n"", ""ə"", ""s""]"	"[""n"", ""oʊ"", ""z""]"	
MEANING_0155	low_association	1	train	snotty	snob	"[""s"", ""n"", ""ɑ"", ""t"", ""i""]"	"[""s"", ""n"", ""ɑ"", ""b""]"	unseen_phase1:snob
MEANING_0156	low_association	1	train	spicy	food	"[""s"", ""p"", ""aɪ"", ""s"", ""i""]"	"[""f"", ""uː"", ""d""]"	
MEANING_0157	low_association	1	train	spot	stain	"[""s"", ""p"", ""ɑ"", ""t""]"	"[""s"", ""t"", ""eɪ"", ""n""]"	
MEANING_0158	low_association	1	train	strap	belt	"[""s"", ""t"", ""ɹ"", ""æ"", ""p""]"	"[""b"", ""ɛ"", ""l"", ""t""]"	
MEANING_0159	low_association	1	train	suede	shoes	"[""s"", ""w"", ""eɪ"", ""d""]"	"[""ʃ"", ""uː"", ""z""]"	
MEANING_0160	low_association	1	train	tan	sun	"[""t"", ""æ"", ""n""]"	"[""s"", ""ʌ"", ""n""]"	
MEANING_0161	low_association	1	train	tavern	pub	"[""t"", ""æ"", ""v"", ""ə"", ""ɹ"", ""n""]"	"[""p"", ""ʌ"", ""b""]"	unseen_phase1:pub
MEANING_0162	low_association	1	train	teapot	tea	"[""t"", ""iː"", ""p"", ""ɑ"", ""t""]"	"[""t"", ""iː""]"	
MEANING_0163	low_association	1	train	theft	steal	"[""θ"", ""ɛ"", ""f"", ""t""]"	"[""s"", ""t"", ""iː"", ""l""]"	unseen_phase1:theft
MEANING_0164	low_association	1	train	thumb	finger	"[""θ"", ""ʌ"", ""m""]"	"[""f"", ""ɪ"", ""ŋ"", ""ɡ"", ""ə"", ""ɹ""]"	
MEANING_0165	low_association	1	train	tractor	trailer	"[""t"", ""ɹ"", ""æ"", ""k"", ""t"", ""ə"", ""ɹ""]"	"[""t"", ""ɹ"", ""eɪ"", ""l"", ""ə"", ""ɹ""]"	
MEANING_0166	low_association	1	train	trap	mouse	"[""t"", ""ɹ"", ""æ"", ""p""]"	"[""m"", ""aʊ"", ""s""]"	
