item_id	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	condition	binary_label	sentence	template_family	verb_surface	object_surface	verb_lemma	object_lemma	verb_object_FSG	violation_type	source_record_id	auto_expected_grammatical_yes_no	auto_structure_complete_yes_no	auto_error_annotation_pass_yes_no	human_corrected_event_makes_sense_yes_no	human_sentence_grammatical_yes_no	human_no_extra_errors_yes_no	human_notes_optional
ORIG_GRAM_0028	ds003604_original	reference_only	G_P	stereo_2MP82U2.wav	plurality_violation	0	He is chewing one bites	be_progressive	chewing	bites	chew	bite		omitt	ds003604:stereo_2MP82U2.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0029	ds003604_original	reference_only	G_P	stereo_2MP92U4.wav	plurality_violation	0	Last week she fooled two mother	simple_past	fooled	mother	fool	mother		omitt	ds003604:stereo_2MP92U4.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0030	ds003604_original	reference_only	G_P	stereo_2MP93U4.wav	plurality_violation	0	Last week he watched two show	simple_past	watched	show	watch	show		omitt	ds003604:stereo_2MP93U4.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0031	ds003604_original	reference_only	G_F	stereo_1MF07U2.wav	finiteness_violation	0	He dropping one book	be_progressive	dropping	book	drop	book		omitt	ds003604:stereo_1MF07U2.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0032	ds003604_original	reference_only	G_F	stereo_1MF19U4.wav	finiteness_violation	0	Last week she poke one friend	simple_past	poke	friend	poke	friend		omitt	ds003604:stereo_1MF19U4.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0033	ds003604_original	reference_only	G_F	stereo_1MF20U4.wav	finiteness_violation	0	Last week he call five friends	simple_past	call	friends	call	friend		omitt	ds003604:stereo_1MF20U4.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0034	ds003604_original	reference_only	G_F	stereo_1MF21U4.wav	finiteness_violation	0	Last week he watch one rabbit	simple_past	watch	rabbit	watch	rabbit		omitt	ds003604:stereo_1MF21U4.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0035	ds003604_original	reference_only	G_F	stereo_2MF53U1.wav	finiteness_violation	0	Every day he climb six stairs	present_3s	climb	stairs	climb	stair		omitt	ds003604:stereo_2MF53U1.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0036	ds003604_original	reference_only	G_F	stereo_2MF54U1.wav	finiteness_violation	0	Every day they shares one snack	present_3s	shares	snack	share	snack		add	ds003604:stereo_2MF54U1.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0037	ds003604_original	reference_only	G_F	stereo_2MF56U2.wav	finiteness_violation	0	They opening two packages	be_progressive	opening	packages	open	package		omitt	ds003604:stereo_2MF56U2.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0038	ds003604_original	reference_only	G_F	stereo_2MF58U2.wav	finiteness_violation	0	She are tracing one star	be_progressive	tracing	star	trace	star		substitute	ds003604:stereo_2MF58U2.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0039	ds003604_original	reference_only	G_F	stereo_2MF63U3.wav	finiteness_violation	0	They not climb one hill	do_negation	climb	hill	climb	hill		omitt	ds003604:stereo_2MF63U3.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0040	ds003604_original	reference_only	G_F	stereo_2MF64U3.wav	finiteness_violation	0	They does not watch four shows	do_negation	watch	shows	watch	show		substitute	ds003604:stereo_2MF64U3.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0041	ds003604_original	reference_only	G_G	stereo_1MF02G1.wav	grammatical	1	Every day they play one game	present_3s	play	game	play	game		n/a	ds003604:stereo_1MF02G1.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0042	ds003604_original	reference_only	G_G	stereo_1MF18G3.wav	grammatical	1	He does not use four colors	do_negation	use	colors	use	color		n/a	ds003604:stereo_1MF18G3.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0043	ds003604_original	reference_only	G_G	stereo_1MF24G4.wav	grammatical	1	Last week she mailed four letters	simple_past	mailed	letters	mail	letter		n/a	ds003604:stereo_1MF24G4.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0044	ds003604_original	reference_only	G_G	stereo_1MP29G1.wav	grammatical	1	Every day she calls three friends	present_3s	calls	friends	call	friend		n/a	ds003604:stereo_1MP29G1.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0045	ds003604_original	reference_only	G_G	stereo_1MP42G3.wav	grammatical	1	He is saving three cents	be_progressive	saving	cents	save	cent		n/a	ds003604:stereo_1MP42G3.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0046	ds003604_original	reference_only	G_G	stereo_2MF49G1.wav	grammatical	1	Every day they practice one time	present_3s	practice	time	practice	time		n/a	ds003604:stereo_2MF49G1.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0047	ds003604_original	reference_only	G_G	stereo_2MF66G3.wav	grammatical	1	She does not whisper three words	do_negation	whisper	words	whisper	word		n/a	ds003604:stereo_2MF66G3.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0048	ds003604_original	reference_only	G_G	stereo_2MF71G4.wav	grammatical	1	Last week they kissed three times	simple_past	kissed	times	kiss	time		n/a	ds003604:stereo_2MF71G4.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0049	ds003604_original	reference_only	G_G	stereo_2MP84G2.wav	grammatical	1	He is chasing one cat	be_progressive	chasing	cat	chase	cat		n/a	ds003604:stereo_2MP84G2.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0050	ds003604_original	reference_only	G_G	stereo_2MP89G3.wav	grammatical	1	He does not clean two dishes	do_negation	clean	dishes	clean	dish		n/a	ds003604:stereo_2MP89G3.wav	yes	yes	yes	yes	yes	yes	
ORIG_GRAM_0051	ds003604_original	reference_only	G_P	stereo_1MP32U2.wav	plurality_violation	0	She is fixing two clock	be_progressive	fixing	clock	fix	clock		omitt	ds003604:stereo_1MP32U2.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0052	ds003604_original	reference_only	G_P	stereo_1MP34U2.wav	plurality_violation	0	She is opening two window	be_progressive	opening	window	open	window		omitt	ds003604:stereo_1MP34U2.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0053	ds003604_original	reference_only	G_P	stereo_1MP43U4.wav	plurality_violation	0	Last week they washed two car	simple_past	washed	car	wash	car		omitt	ds003604:stereo_1MP43U4.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0054	ds003604_original	reference_only	G_P	stereo_1MP44U4.wav	plurality_violation	0	Last week he earned six dollar	simple_past	earned	dollar	earn	dollar		omitt	ds003604:stereo_1MP44U4.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0055	ds003604_original	reference_only	G_P	stereo_1MP45U4.wav	plurality_violation	0	Last week they licked two sucker	simple_past	licked	sucker	lick	sucker		omitt	ds003604:stereo_1MP45U4.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0056	ds003604_original	reference_only	G_P	stereo_2MP73U1.wav	plurality_violation	0	Every day he solves five problem	present_3s	solves	problem	solve	problem		omitt	ds003604:stereo_2MP73U1.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0057	ds003604_original	reference_only	G_P	stereo_2MP76U1.wav	plurality_violation	0	Every day she smells one flowers	present_3s	smells	flowers	smell	flower		add	ds003604:stereo_2MP76U1.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0058	ds003604_original	reference_only	G_P	stereo_2MP80U2.wav	plurality_violation	0	She is pulling two wagon	be_progressive	pulling	wagon	pull	wagon		omitt	ds003604:stereo_2MP80U2.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0059	ds003604_original	reference_only	G_P	stereo_2MP87U3.wav	plurality_violation	0	He does not return two book	do_negation	return	book	return	book		omitt	ds003604:stereo_2MP87U3.wav	no	yes	yes	yes	no	yes	
ORIG_GRAM_0060	ds003604_original	reference_only	G_P	stereo_2MP88U3.wav	plurality_violation	0	They do not hug one sons	do_negation	hug	sons	hug	son		add	ds003604:stereo_2MP88U3.wav	no	yes	yes	yes	no	yes	
