item_id	stimulus_origin	adaptation_eligibility	original_trial_type	original_stimulus_file	condition	binary_label	sentence	template_family	verb_surface	object_surface	verb_lemma	object_lemma	verb_object_FSG	violation_type	source_record_id	auto_expected_grammatical_yes_no	auto_structure_complete_yes_no	auto_error_annotation_pass_yes_no	human_corrected_event_makes_sense_yes_no	human_sentence_grammatical_yes_no	human_no_extra_errors_yes_no	human_notes_optional
CAND_GRAM_000011	plus	candidate_pending_human_review			grammatical	1	Every day they buckle one belt	present_3s	buckle	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000012	plus	candidate_pending_human_review			grammatical	1	Last week they buckled one belt	simple_past	buckled	belt	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000013	plus	candidate_pending_human_review			grammatical	1	She is buckling two belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000014	plus	candidate_pending_human_review			grammatical	1	She does not buckle two belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000015	plus	candidate_pending_human_review			grammatical	1	Every day she buckles two belts	present_3s	buckles	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000016	plus	candidate_pending_human_review			grammatical	1	Last week she buckled two belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000017	plus	candidate_pending_human_review			grammatical	1	He is buckling two belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000018	plus	candidate_pending_human_review			grammatical	1	He does not buckle two belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000019	plus	candidate_pending_human_review			grammatical	1	Every day he buckles two belts	present_3s	buckles	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000020	plus	candidate_pending_human_review			grammatical	1	Last week he buckled two belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000021	plus	candidate_pending_human_review			grammatical	1	They are buckling two belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000022	plus	candidate_pending_human_review			grammatical	1	They do not buckle two belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000023	plus	candidate_pending_human_review			grammatical	1	Every day they buckle two belts	present_3s	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000024	plus	candidate_pending_human_review			grammatical	1	Last week they buckled two belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000025	plus	candidate_pending_human_review			grammatical	1	She is buckling three belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000026	plus	candidate_pending_human_review			grammatical	1	She does not buckle three belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000027	plus	candidate_pending_human_review			grammatical	1	Every day she buckles three belts	present_3s	buckles	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000028	plus	candidate_pending_human_review			grammatical	1	Last week she buckled three belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000029	plus	candidate_pending_human_review			grammatical	1	He is buckling three belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000030	plus	candidate_pending_human_review			grammatical	1	He does not buckle three belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000031	plus	candidate_pending_human_review			grammatical	1	Every day he buckles three belts	present_3s	buckles	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000032	plus	candidate_pending_human_review			grammatical	1	Last week he buckled three belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000033	plus	candidate_pending_human_review			grammatical	1	They are buckling three belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000034	plus	candidate_pending_human_review			grammatical	1	They do not buckle three belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000035	plus	candidate_pending_human_review			grammatical	1	Every day they buckle three belts	present_3s	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000036	plus	candidate_pending_human_review			grammatical	1	Last week they buckled three belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000037	plus	candidate_pending_human_review			grammatical	1	She is buckling four belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000038	plus	candidate_pending_human_review			grammatical	1	She does not buckle four belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000039	plus	candidate_pending_human_review			grammatical	1	Every day she buckles four belts	present_3s	buckles	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000040	plus	candidate_pending_human_review			grammatical	1	Last week she buckled four belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000041	plus	candidate_pending_human_review			grammatical	1	He is buckling four belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000042	plus	candidate_pending_human_review			grammatical	1	He does not buckle four belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000043	plus	candidate_pending_human_review			grammatical	1	Every day he buckles four belts	present_3s	buckles	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000044	plus	candidate_pending_human_review			grammatical	1	Last week he buckled four belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000045	plus	candidate_pending_human_review			grammatical	1	They are buckling four belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000046	plus	candidate_pending_human_review			grammatical	1	They do not buckle four belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000047	plus	candidate_pending_human_review			grammatical	1	Every day they buckle four belts	present_3s	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000048	plus	candidate_pending_human_review			grammatical	1	Last week they buckled four belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000049	plus	candidate_pending_human_review			grammatical	1	She is buckling five belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000050	plus	candidate_pending_human_review			grammatical	1	She does not buckle five belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000051	plus	candidate_pending_human_review			grammatical	1	Every day she buckles five belts	present_3s	buckles	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000052	plus	candidate_pending_human_review			grammatical	1	Last week she buckled five belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000053	plus	candidate_pending_human_review			grammatical	1	He is buckling five belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000054	plus	candidate_pending_human_review			grammatical	1	He does not buckle five belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000055	plus	candidate_pending_human_review			grammatical	1	Every day he buckles five belts	present_3s	buckles	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000056	plus	candidate_pending_human_review			grammatical	1	Last week he buckled five belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000057	plus	candidate_pending_human_review			grammatical	1	They are buckling five belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000058	plus	candidate_pending_human_review			grammatical	1	They do not buckle five belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000059	plus	candidate_pending_human_review			grammatical	1	Every day they buckle five belts	present_3s	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000060	plus	candidate_pending_human_review			grammatical	1	Last week they buckled five belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000061	plus	candidate_pending_human_review			grammatical	1	She is buckling six belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000062	plus	candidate_pending_human_review			grammatical	1	She does not buckle six belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000063	plus	candidate_pending_human_review			grammatical	1	Every day she buckles six belts	present_3s	buckles	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000064	plus	candidate_pending_human_review			grammatical	1	Last week she buckled six belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000065	plus	candidate_pending_human_review			grammatical	1	He is buckling six belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000066	plus	candidate_pending_human_review			grammatical	1	He does not buckle six belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000067	plus	candidate_pending_human_review			grammatical	1	Every day he buckles six belts	present_3s	buckles	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000068	plus	candidate_pending_human_review			grammatical	1	Last week he buckled six belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000069	plus	candidate_pending_human_review			grammatical	1	They are buckling six belts	be_progressive	buckling	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000070	plus	candidate_pending_human_review			grammatical	1	They do not buckle six belts	do_negation	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000071	plus	candidate_pending_human_review			grammatical	1	Every day they buckle six belts	present_3s	buckle	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000072	plus	candidate_pending_human_review			grammatical	1	Last week they buckled six belts	simple_past	buckled	belts	buckle	belt	0.667	none	USF:Cue_Target_Pairs.A-B:7781	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000073	plus	candidate_pending_human_review			grammatical	1	She is singing one song	be_progressive	singing	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000074	plus	candidate_pending_human_review			grammatical	1	She does not sing one song	do_negation	sing	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000075	plus	candidate_pending_human_review			grammatical	1	Every day she sings one song	present_3s	sings	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000076	plus	candidate_pending_human_review			grammatical	1	Last week she sang one song	simple_past	sang	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000077	plus	candidate_pending_human_review			grammatical	1	He is singing one song	be_progressive	singing	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000078	plus	candidate_pending_human_review			grammatical	1	He does not sing one song	do_negation	sing	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000079	plus	candidate_pending_human_review			grammatical	1	Every day he sings one song	present_3s	sings	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000080	plus	candidate_pending_human_review			grammatical	1	Last week he sang one song	simple_past	sang	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000081	plus	candidate_pending_human_review			grammatical	1	They are singing one song	be_progressive	singing	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000082	plus	candidate_pending_human_review			grammatical	1	They do not sing one song	do_negation	sing	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000083	plus	candidate_pending_human_review			grammatical	1	Every day they sing one song	present_3s	sing	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000084	plus	candidate_pending_human_review			grammatical	1	Last week they sang one song	simple_past	sang	song	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000085	plus	candidate_pending_human_review			grammatical	1	She is singing two songs	be_progressive	singing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000086	plus	candidate_pending_human_review			grammatical	1	She does not sing two songs	do_negation	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000087	plus	candidate_pending_human_review			grammatical	1	Every day she sings two songs	present_3s	sings	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000088	plus	candidate_pending_human_review			grammatical	1	Last week she sang two songs	simple_past	sang	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000089	plus	candidate_pending_human_review			grammatical	1	He is singing two songs	be_progressive	singing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000090	plus	candidate_pending_human_review			grammatical	1	He does not sing two songs	do_negation	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000091	plus	candidate_pending_human_review			grammatical	1	Every day he sings two songs	present_3s	sings	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000092	plus	candidate_pending_human_review			grammatical	1	Last week he sang two songs	simple_past	sang	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000093	plus	candidate_pending_human_review			grammatical	1	They are singing two songs	be_progressive	singing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000094	plus	candidate_pending_human_review			grammatical	1	They do not sing two songs	do_negation	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000095	plus	candidate_pending_human_review			grammatical	1	Every day they sing two songs	present_3s	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000096	plus	candidate_pending_human_review			grammatical	1	Last week they sang two songs	simple_past	sang	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000097	plus	candidate_pending_human_review			grammatical	1	She is singing three songs	be_progressive	singing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000098	plus	candidate_pending_human_review			grammatical	1	She does not sing three songs	do_negation	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000099	plus	candidate_pending_human_review			grammatical	1	Every day she sings three songs	present_3s	sings	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000100	plus	candidate_pending_human_review			grammatical	1	Last week she sang three songs	simple_past	sang	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000101	plus	candidate_pending_human_review			grammatical	1	He is singing three songs	be_progressive	singing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000102	plus	candidate_pending_human_review			grammatical	1	He does not sing three songs	do_negation	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000103	plus	candidate_pending_human_review			grammatical	1	Every day he sings three songs	present_3s	sings	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000104	plus	candidate_pending_human_review			grammatical	1	Last week he sang three songs	simple_past	sang	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000105	plus	candidate_pending_human_review			grammatical	1	They are singing three songs	be_progressive	singing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000106	plus	candidate_pending_human_review			grammatical	1	They do not sing three songs	do_negation	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000107	plus	candidate_pending_human_review			grammatical	1	Every day they sing three songs	present_3s	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000108	plus	candidate_pending_human_review			grammatical	1	Last week they sang three songs	simple_past	sang	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000109	plus	candidate_pending_human_review			grammatical	1	She is singing four songs	be_progressive	singing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000110	plus	candidate_pending_human_review			grammatical	1	She does not sing four songs	do_negation	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000111	plus	candidate_pending_human_review			grammatical	1	Every day she sings four songs	present_3s	sings	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000112	plus	candidate_pending_human_review			grammatical	1	Last week she sang four songs	simple_past	sang	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000113	plus	candidate_pending_human_review			grammatical	1	He is singing four songs	be_progressive	singing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000114	plus	candidate_pending_human_review			grammatical	1	He does not sing four songs	do_negation	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000115	plus	candidate_pending_human_review			grammatical	1	Every day he sings four songs	present_3s	sings	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000116	plus	candidate_pending_human_review			grammatical	1	Last week he sang four songs	simple_past	sang	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000117	plus	candidate_pending_human_review			grammatical	1	They are singing four songs	be_progressive	singing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000118	plus	candidate_pending_human_review			grammatical	1	They do not sing four songs	do_negation	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000119	plus	candidate_pending_human_review			grammatical	1	Every day they sing four songs	present_3s	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000120	plus	candidate_pending_human_review			grammatical	1	Last week they sang four songs	simple_past	sang	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000121	plus	candidate_pending_human_review			grammatical	1	She is singing five songs	be_progressive	singing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000122	plus	candidate_pending_human_review			grammatical	1	She does not sing five songs	do_negation	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000123	plus	candidate_pending_human_review			grammatical	1	Every day she sings five songs	present_3s	sings	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000124	plus	candidate_pending_human_review			grammatical	1	Last week she sang five songs	simple_past	sang	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000125	plus	candidate_pending_human_review			grammatical	1	He is singing five songs	be_progressive	singing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000126	plus	candidate_pending_human_review			grammatical	1	He does not sing five songs	do_negation	sing	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
CAND_GRAM_000127	plus	candidate_pending_human_review			grammatical	1	Every day he sings five songs	present_3s	sings	songs	sing	song	0.456	none	USF:Cue_Target_Pairs.S:3258	yes	yes	yes	yes	yes	yes	
